                 Name                  Number
epn3                                  m588
cdkal1                                m589
pxk                                   m590
rnf43                                 m591
uhrf1bp1                              m592
bcor                                  m593
cc2d1a                                m594
gin1                                  m595
haus6                                 m596
xaf1                                  m597
fxyd6                                 m598
s1pr5                                 m599
tm6sf2                                m600
rtel1                                 m601
cd244                                 m602
ghrl                                  m603
srrt                                  m604
trim33                                m605
gde1                                  m606
cyrib                                 m607
il23a                                 m608
zc3hc1                                m609
gskip                                 m610
chmp5                                 m611
polk                                  m612
zbtb7a                                m613
tnfrsf12a                             m614
gmip                                  m615
sbds                                  m616
gal                                   m617
ndufa13                               m618
mymy1                                 m619
pde11a                                m620
ntm                                   m621
caly                                  m622
il20                                  m623
ehd3                                  m624
cd209                                 m625
ube2t                                 m626
pclo                                  m627
coq2                                  m628
disc1                                 m629
morc1                                 m630
b3gat1                                m631
utp25                                 m632
